year,cellid,waterpix,clearpix,waterobs,clearobs
2014, 144_-016, 212647, 12237774, 1192606, 162951368
1987, 143_-033, 73606, 15998159, 203443, 223908841
1987, 144_-042, 10394, 1635415, 17123, 2995284
1987, 123_-035, 6989, 21195, 15135, 55136
1987, 129_-016, 782258, 14238574, 4656771, 203970601
1987, 148_-018, 0, 0, 0, 0
1987, 146_-027, 169330, 15995419, 204064, 254945521
1987, 128_-019, 6522, 15829047, 12890, 251019734
1987, 115_-021, 55186, 428581, 517180, 4832188
1987, 149_-029, 726334, 15999505, 1081557, 214615202
1987, 145_-044, 45024, 909294, 87640, 1613023
1987, 134_-011, 0, 0, 0, 0
1987, 122_-034, 132740, 14649744, 270562, 69944812
1987, 132_-032, 6388, 15490001, 24620, 130835654
1987, 134_-022, 8846, 15956492, 9545, 238485507
1987, 115_-026, 26709, 15989081, 44972, 252476023
1987, 149_-035, 33135, 13885253, 111526, 106080561
1987, 148_-036, 148545, 10018808, 621404, 81254081
1987, 139_-033, 1815, 15773619, 1942, 139058748
1987, 122_-025, 4008, 15997445, 7064, 227961839
1987, 127_-029, 1370, 15999990, 1370, 176552729
1987, 143_-042, 0, 0, 0, 0
1987, 149_-037, 69169, 11139440, 347937, 77651757
1987, 133_-021, 1470, 15999414, 3263, 139995397
1987, 141_-019, 8347, 16000000, 32341, 181059247
1987, 150_-028, 105887, 15998000, 208652, 186771531
1987, 139_-029, 90207, 15999607, 139186, 198141693
1987, 126_-022, 155, 15999994, 174, 186385955
1987, 143_-019, 18128, 15336797, 46987, 239589661
1987, 124_-023, 2268, 15999996, 2268, 231349558
1987, 132_-031, 311, 15999892, 311, 110283880
1987, 123_-027, 151769, 15999134, 187226, 231740421
1987, 126_-028, 10807, 15999879, 10849, 201078837
1987, 130_-020, 421, 9626199, 422, 122158281
1987, 136_-019, 4087, 15999623, 5418, 273671138
1987, 112_-029, 0, 0, 0, 0
1987, 149_-036, 142665, 12237061, 360660, 86501369
1987, 133_-019, 3294, 15993316, 3402, 176833839
1987, 118_-029, 17087, 15996337, 33201, 167887525
1987, 127_-026, 1246, 15986542, 1572, 189057088
1987, 148_-040, 5518, 247769, 5903, 295595
1987, 132_-012, 273014, 6426168, 870829, 27983056
1987, 148_-041, 97499, 2396494, 131254, 3950471
1987, 113_-029, 21953, 45421, 94837, 206262
1987, 121_-035, 8387, 24558, 17248, 59881
1987, 121_-029, 46245, 15995638, 72617, 224166935
1987, 126_-017, 8302, 15661169, 11706, 226701287
1987, 150_-026, 27918, 15614746, 223101, 212258694
1987, 135_-021, 6417, 15916769, 8110, 281196984
1987, 119_-025, 21704, 15894711, 25541, 128182499
1987, 130_-025, 458381, 15993583, 780062, 158232068
1987, 147_-019, 0, 0, 0, 0
1987, 143_-040, 3719, 123355, 4421, 151627
1987, 146_-014, 0, 0, 0, 0
1987, 141_-020, 11774, 15999996, 47870, 263516342
1987, 132_-016, 1353, 15999424, 2413, 229943735
1987, 128_-022, 10812, 15981649, 13037, 98096934
1987, 142_-038, 354156, 15144550, 1198365, 62569834
1987, 136_-024, 1673, 15997888, 3185, 310036365
1987, 136_-021, 475, 16000000, 476, 231220258
1987, 143_-041, 841, 20059, 841, 20551
1987, 132_-027, 11634, 15471746, 18194, 163669050
1987, 135_-014, 153876, 14852434, 440585, 85609427
1987, 125_-025, 15366, 15999939, 24092, 196390971
1987, 133_-034, 0, 0, 0, 0
1987, 116_-035, 215701, 14889914, 604231, 64889118
1987, 128_-025, 52809, 15439145, 90055, 240497882
1987, 114_-025, 69805, 15808769, 109560, 220108124
1987, 122_-029, 8506, 15994232, 12612, 213294344
1987, 122_-031, 168044, 15999224, 312083, 225441898
1987, 150_-031, 96762, 13127043, 424820, 162193686
1987, 135_-030, 17747, 15998669, 19956, 225201851
1987, 128_-031, 15222, 16000000, 15424, 128762135
1987, 138_-033, 19493, 14988177, 23698, 176076711
1987, 148_-043, 114497, 834105, 315262, 2313271
1987, 122_-030, 170498, 15993840, 358053, 224117127
1987, 134_-028, 5299, 15980521, 7684, 227339182
1987, 151_-029, 106457, 15124407, 455617, 123558998
1987, 115_-024, 10551, 15829302, 15541, 210392369
1987, 136_-014, 228547, 3816796, 1047143, 23266621
1987, 113_-022, 2644, 77753, 16806, 739742
1987, 135_-034, 32754, 15355458, 130126, 108364490
1987, 125_-023, 3573, 16000000, 3586, 214135305
1987, 145_-032, 10007, 15948177, 32140, 204367876
1987, 147_-039, 458822, 2861086, 1908934, 12133357
1987, 132_-015, 12426, 15829599, 26411, 190638401
1987, 141_-022, 72426, 15966717, 78503, 295324553
1987, 129_-030, 569, 15999957, 573, 79755326
1987, 131_-033, 0, 0, 0, 0
1987, 139_-018, 962205, 9829276, 3771321, 146443907
1987, 141_-031, 56659, 15991084, 119672, 193349463
1987, 136_-017, 23261, 15865646, 90666, 254820469
1987, 149_-030, 236388, 15998109, 649214, 148814119
1987, 144_-033, 28184, 15993377, 50565, 171247038
1987, 142_-016, 48248, 16000000, 174133, 242671187
1987, 144_-026, 285457, 15915527, 306828, 285830958
1987, 152_-025, 60315, 2574825, 134636, 7048444
1987, 144_-029, 591088, 15996101, 3329175, 244338902
1987, 137_-028, 615945, 15996533, 1401437, 110930156
1987, 118_-025, 5815, 15789472, 6541, 179371199
1987, 112_-024, 0, 0, 0, 0
1987, 117_-027, 32369, 15956035, 38505, 212478959
1987, 118_-026, 5894, 15923537, 12289, 233621322
1987, 141_-040, 0, 0, 0, 0
1987, 127_-032, 1711, 15981144, 1712, 75675605
